ID,name,url,git url,default branch,commit SHA,stars,timestamp
P1,dubbo,https://github.com/apache/dubbo,https://github.com/apache/dubbo.git,3.2,502b4c86dffbc0de3863a5e41ed7b9f633450c1c,38.4k,13/02/2022 18:00
P2,skywalking,https://github.com/apache/skywalking,https://github.com/apache/skywalking.git,master,fd78739067b459dfd5474d3948b3cb97bc3cb63b,21.2k,13/02/2022 18:20
P3,flink,https://github.com/apache/flink,https://github.com/apache/flink.git,master,c0aa73df4df4e39c138f2cddaeb8efad6c831d03,20.6k,13/02/2022 19:32
P4,rocketmq,https://github.com/apache/rocketmq,https://github.com/apache/rocketmq.git,develop,2e8ef046465c4133cf0d6ad6f242f630021439b2,18.7k,13/02/2022 19:33
P5,shardingsphere,https://github.com/apache/shardingsphere,https://github.com/apache/shardingsphere.git,master,7d1d1c3cc2bbdd56cb7c245f681fb6666cedaf78,18k,13/02/2022 19:34
P6,hadoop,https://github.com/apache/hadoop,https://github.com/apache/hadoop.git,trunk,90de1ff151ede83a6f963aaf2407d3eb6220ae40,13.2k,13/02/2022 19:36
P7,druid,https://github.com/apache/druid,https://github.com/apache/druid.git,master,f09f83697df5daa5dd52c6f930d12c0c68233776,12.4k,13/02/2022 19:37
P8,pulsar,https://github.com/apache/pulsar,https://github.com/apache/pulsar.git,master,950ff441da28e144bdfb71c317a9bc339d4f05b7,12.3k,13/02/2022 19:38
P9,zookeeper,https://github.com/apache/zookeeper,https://github.com/apache/zookeeper.git,master,2d1bac7e077f49a7149d3fb878a2c73b9e627f6e,11.1k,13/02/2022 19:39
P10,dolphinscheduler,https://github.com/apache/dolphinscheduler,https://github.com/apache/dolphinscheduler.git,dev,2bd65fb2df68847130c7e1ab6616bbfba95783b2,9.8k,13/02/2022 19:40
P11,shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,master,bf9bf756c0c8c0a05d48d91e0907f4509a535741,7.8k,16/02/2022 18:13
P12,shenyu,https://github.com/apache/shenyu,https://github.com/apache/shenyu.git,master,7991582bb4d849edd313d12f757eb9532eec6c0a,7.6k,16/02/2022 18:13
P13,tomcat,https://github.com/apache/tomcat,https://github.com/apache/tomcat.git,main,2f94c7bc7fa331c9faf5dc54c052a9548be84c88,6.5k,16/02/2022 18:18
P14,storm,https://github.com/apache/storm,https://github.com/apache/storm.git,master,bf29d1cc9914d4fe596b5e65532322e3dfd3e4ff,6.4k,16/02/2022 18:19
P15,zeppelin,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin.git,master,11052f6fb435c812788a5f30211b9d71842f9182,5.9k,16/02/2022 18:20
P16,nifi,https://github.com/apache/nifi,https://github.com/apache/nifi.git,main,6542505a5071f7bd1152daea5b1763b2af618a74,3.6k,13/02/2022 20:16
P17,shiro,https://github.com/apache/shiro,https://github.com/apache/shiro.git,main,cc9423f1c81609ea126191b5c9eeae9ce6c577b8,4k,13/02/2022 20:17
P18,camel,https://github.com/apache/camel,https://github.com/apache/camel.git,main,bd966028a5983f17dfd1958b1ea3595b094f3002,4.7k,13/02/2022 20:18
P19,commons-jexl,https://github.com/apache/commons-jexl,https://github.com/apache/commons-jexl.git,master,2839f02e39efd6c336534f7ca6446c85fa450901,142,13/02/2022 20:19
P20,cloudstack,https://github.com/apache/cloudstack,https://github.com/apache/cloudstack.git,main,933970d9da0791ae0867ed9c3d2b318b4029660a,1.3k,13/02/2022 20:20
P21,tika,https://github.com/apache/tika,https://github.com/apache/tika.git,main,69f1b6591d7439d8e04edeef1bc58e151669a7d4,1.6k,13/02/2022 20:22
P22,sedona,https://github.com/apache/sedona,https://github.com/apache/sedona.git,master,b0b74295a1899c94fdadf2497ea671111fc4f235,1.4k,13/02/2022 20:24
P23,ctakes,https://github.com/apache/ctakes,https://github.com/apache/ctakes.git,main,088450faf6d4f405dc056079c10abeb880a58be7,14,13/02/2022 20:24
P24,commons-beanutils,https://github.com/apache/commons-beanutils,https://github.com/apache/commons-beanutils.git,master,f7112c90e7b5d72a5e2b9a854d14d748809b738c,234,13/02/2022 20:25
P25,tinkerpop,https://github.com/apache/tinkerpop,https://github.com/apache/tinkerpop.git,master,413764637b361c496e175cc76e2abfe98d828c6e,1.7k,13/02/2022 20:26
P26,karaf-decanter,https://github.com/apache/karaf-decanter,https://github.com/apache/karaf-decanter.git,main,7f93174716e3db9b824c4e60c9a3176fc8edb913,33,16/02/2022 18:22
P27,myfaces,https://github.com/apache/myfaces,https://github.com/apache/myfaces.git,main,b09f5bea4f66ceefaba5d3c0c67bb411cad6762a,90,16/02/2022 18:23
P28,hudi,https://github.com/apache/hudi,https://github.com/apache/hudi.git,master,a584c6f97f40f769ab0f044247b9ed050a1d94c2,3.9k,16/02/2022 18:24
P29,inlong,https://github.com/apache/inlong,https://github.com/apache/inlong.git,master,1880cde88665a246df466bad11d145776e369339,1.1k,16/02/2022 18:25
P30,plc4x,https://github.com/apache/plc4x,https://github.com/apache/plc4x.git,develop,6da7bd642011b8f1c0e470f557c0adfd2cb03004,759,16/02/2022 18:26
P31,turbine-core,https://github.com/apache/turbine-core,https://github.com/apache/turbine-core.git,trunk,e5e1518626813f2a1b17af975a7bf2b134b30eac,3,13/02/2022 20:35
P32,freemarker-docgen,https://github.com/apache/freemarker-docgen,https://github.com/apache/freemarker-docgen.git,master,1af58fabcccd6268be1633e0c4c6b4a188c4ea69,3,13/02/2022 20:38
P33,creadur-whisker,https://github.com/apache/creadur-whisker,https://github.com/apache/creadur-whisker.git,master,09cd1daf1c39852ff6e52d6a40a6f333adbc8566,3,16/02/2022 18:36
P34,maven-jarsigner,https://github.com/apache/maven-jarsigner,https://github.com/apache/maven-jarsigner.git,master,5014079464dbaad87599e0078ec41b0bb7dddfa5,2,16/02/2022 18:35
P35,maven-shared-io,https://github.com/apache/maven-shared-io,https://github.com/apache/maven-shared-io.git,master,f8f263321ab70119eebb16b426e3a38833fa0e42,2,16/02/2022 18:33
P36,jclouds-labs,https://github.com/apache/jclouds-labs,https://github.com/apache/jclouds-labs.git,master,292290287710385d91ae1b8c46a7865f422b06df,2,13/02/2022 20:30
P37,creadur-tentacles,https://github.com/apache/creadur-tentacles,https://github.com/apache/creadur-tentacles.git,master,fcb2e52e03b4632360fa3038a66cb8f1f9c31048,2,13/02/2022 20:32
P38,accumulo-classloaders,https://github.com/apache/accumulo-classloaders,https://github.com/apache/accumulo-classloaders.git,main,581b3fd198cd6b451d85c00f5c600598eac11f6e,1,16/02/2022 18:29
P39,datasketches-server,https://github.com/apache/datasketches-server,https://github.com/apache/datasketches-server.git,main,12f4509e12a45d415e3e771e42329f9d19bec801,1,16/02/2022 18:31
P40,turbine-archetypes,https://github.com/apache/turbine-archetypes,https://github.com/apache/turbine-archetypes.git,master,a05be1cce42f9ceb50fb36cf5e3c46d298552662,1,13/02/2022 20:41
P41,astrixdb-graph,https://github.com/apache/asterixdb-graph,https://github.com/apache/asterixdb-graph.git,master,acd4b5b4b9d02d1eb92ac566d94dda44ce67e1e9,1,13/02/2022 20:43
P42,aries-typedevent,https://github.com/apache/aries-typedevent,https://github.com/apache/aries-typedevent.git,main,3129108fb810ab0dbbc05961473a69e5491294d4,1,13/02/2022 20:44
P43,cxf-site,https://github.com/apache/cxf-site,https://github.com/apache/cxf-site.git,main,77215b884b0b2d880ffb862dd26a9abdf9648e6a,1,13/02/2022 20:46
P44,geronimo-metrics,https://github.com/apache/geronimo-metrics,https://github.com/apache/geronimo-metrics.git,master,8e3105db5be21544693d6b84cc34e725b427e3cd,1,13/02/2022 20:47
P45,archiva-components,https://github.com/apache/archiva-components,https://github.com/apache/archiva-components.git,master,b1dd630a2dcf42d763d14549edb0fb39f4d83385,1,13/02/2022 20:48
