project_name,module,concept,domain,sim_score
12_shenyu,shenyu-spring-boot-starter,,,
12_shenyu,shenyu-sync-data-center,,,
12_shenyu,shenyu-web,,,
13_tomcat,java,,,
13_tomcat,java,,,
13_tomcat,modules,,,
13_tomcat,modules,,,
13_tomcat,webapps,,,
14_storm,storm-client,,,
14_storm,storm-core,,,
14_storm,storm-server,,,
14_storm,storm-submit-tools,,,
14_storm,storm-webapp,,,
15_zeppelin,zeppelin-interpreter,,,
15_zeppelin,zeppelin-interpreter-integration,,,
15_zeppelin,zeppelin-jupyter,,,
15_zeppelin,zeppelin-jupyter-interpreter,,,
15_zeppelin,zeppelin-plugins,,,
15_zeppelin,zeppelin-server,,,
15_zeppelin,zeppelin-zengine,,,
16_nifi,minifi,,,
16_nifi,nifi-api,,,
16_nifi,nifi-bootstrap,,,
16_nifi,nifi-commons,,,
16_nifi,nifi-external,,,
16_nifi,nifi-framework-api,,,
16_nifi,nifi-h2,,,
16_nifi,nifi-manifest,,,
16_nifi,nifi-maven-archetypes,,,
16_nifi,nifi-mock,,,
16_nifi,nifi-nar-bundles,,,
16_nifi,nifi-registry,,,
16_nifi,nifi-stateless,,,
16_nifi,nifi-toolkit,,,
17_shiro,lang,,,
17_shiro,support,,,
17_shiro,web,,,
18_camel,archetypes,,,
18_camel,catalog,,,
18_camel,components,,,
18_camel,dsl,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
19_commons-jexl,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
24_commons-beanutils,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
31_turbine-core,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
34_maven-jarsigner,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
35_maven-shared-io,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
37_creadur-tentacles,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
39_datasketches-server,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
40_turbine-archetypes,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
43_cxf-site,src,,,
20_cloudstack,agent,,,
20_cloudstack,agent,,,
20_cloudstack,api,,,
20_cloudstack,api,,,
20_cloudstack,api,,,
20_cloudstack,engine,,,
20_cloudstack,framework,,,
20_cloudstack,utils,,,
20_cloudstack,vmware-base,,,
21_tika,tika-app,,,
21_tika,tika-batch,,,
21_tika,tika-core,,,
21_tika,tika-detectors,,,
21_tika,tika-eval,,,
21_tika,tika-fuzzing,,,
21_tika,tika-java7,,,
21_tika,tika-langdetect,,,
21_tika,tika-parsers,,,
21_tika,tika-pipes,,,
21_tika,tika-serialization,,,
21_tika,tika-server,,,
21_tika,tika-translate,,,
21_tika,tika-xmp,,,
