project_name,module,domain,diff_sim
13_tomcat,java,server,0.003323948571428703
13_tomcat,java,scheduler,0.003357199571428604
13_tomcat,java,camera,0.005047198392857194
13_tomcat,java,graph,0.01390796267857139
13_tomcat,java,translation,0.014404868749999994
13_tomcat,java,debugger,0.014495331321428509
13_tomcat,java,encryption,0.020638862000000008
13_tomcat,java,synchronization,0.022400288178571398
13_tomcat,java,authentication,0.024332520821428505
13_tomcat,java,algorithm,0.027203931401785703
13_tomcat,java,compiler,0.029962939178571513
13_tomcat,java,client,0.033026265
13_tomcat,java,chatbot,0.0330726237821429
13_tomcat,java,logging,0.0383234303928571
13_tomcat,java,image,0.042509652678571486
13_tomcat,java,classification,0.0430315615178571
13_tomcat,java,serialization,0.04418762328571428
13_tomcat,java,plot,0.0451988044607143
13_tomcat,java,bitcoin,0.04642073799999988
13_tomcat,java,kernel,0.049253379642857226
13_tomcat,java,cryptocurrency,0.05259788474999991
13_tomcat,java,search,0.05597658424999999
13_tomcat,java,interpreter,0.0742560067142858
13_tomcat,java,geometry,0.07444711005357141
13_tomcat,java,security,0.07663113014285719
13_tomcat,java,video,0.07720085821428568
13_tomcat,java,genomics,0.0785305571428572
13_tomcat,java,simulation,0.0798640431142858
13_tomcat,java,statistics,0.08362892543571432
13_tomcat,java,physics,0.0866942456928572
13_tomcat,java,router,0.08859612892857138
13_tomcat,java,email,0.08970354035714281
13_tomcat,java,analytics,0.10442754987142859
13_tomcat,java,database,0.10767261374999998
13_tomcat,java,routing,0.1082710192321428
13_tomcat,java,blockchain,0.10936304549999999
13_tomcat,java,finance,0.11167207592857148
13_tomcat,java,microservices,0.12062162551785721
13_tomcat,java,game,0.1234312358928572
13_tomcat,java,validator,0.1352393566785714
13_tomcat,java,cryptography,0.1462689343571428
13_tomcat,java,middleware,0.156283124375
13_tomcat,java,design,0.1617977978571429
13_tomcat,java,backup,0.16432137000000002
13_tomcat,java,malware,0.1793515425285715
13_tomcat,java,data,0.24541713928571432
13_tomcat,java,website,0.29805635271428566
