module,ideal_num
ctakes-assertion,8
ctakes-chunker,4
ctakes-context-tokenizer,9
ctakes-core,9
ctakes-coreference,6
ctakes-dependency-parser,8
ctakes-dictionary-lookup-fast,8
ctakes-lvg,8
ctakes-ne-contexts,5
ctakes-pos-tagger,8
ctakes-preprocessor,5
ctakes-relation-extractor,7
ctakes-temporal,9
ctakes-utils,9
ctakes-ytex,7
ctakes-ytex-uima,7
