module,ideal_num
hadoop-cloud-storage-project,9
hadoop-common-project,9
hadoop-hdfs-project,7
hadoop-mapreduce-project,7
hadoop-maven-plugins,6
hadoop-tools,7
hadoop-yarn-project,7
