module,ideal_num
flink-annotations,9
flink-clients,8
flink-connectors,9
flink-container,5
flink-contrib,9
flink-core,7
flink-dstl,9
flink-external-resources,6
flink-filesystems,9
flink-formats,9
flink-java,9
flink-kubernetes,9
flink-libraries,9
flink-metrics,9
flink-optimizer,8
flink-queryable-state,9
flink-rpc,9
flink-runtime,8
flink-runtime-web,6
flink-scala,7
flink-state-backends,8
flink-streaming-java,9
flink-streaming-scala,7
flink-table,9
flink-yarn,9
