module,ideal_num
dolphinscheduler-alert,7
dolphinscheduler-aop,7
dolphinscheduler-api,8
dolphinscheduler-common,8
dolphinscheduler-dao,9
dolphinscheduler-data-quality,8
dolphinscheduler-datasource-plugin,8
dolphinscheduler-e2e,5
dolphinscheduler-master,9
dolphinscheduler-microbench,4
dolphinscheduler-registry,8
dolphinscheduler-remote,8
dolphinscheduler-service,8
dolphinscheduler-spi,5
dolphinscheduler-storage-plugin,6
dolphinscheduler-task-plugin,8
dolphinscheduler-worker,6
