module,ideal_num
shenyu-admin,9
shenyu-client,6
shenyu-common,8
shenyu-e2e,8
shenyu-loadbalancer,9
shenyu-plugin,8
shenyu-protocol,8
shenyu-register-center,9
shenyu-sdk,7
shenyu-spi,9
shenyu-spring-boot-starter,8
shenyu-sync-data-center,9
shenyu-web,8
