module,ideal_num
minifi,9
nifi-api,9
nifi-bootstrap,9
nifi-commons,8
nifi-external,9
nifi-framework-api,9
nifi-h2,5
nifi-manifest,7
nifi-maven-archetypes,9
nifi-mock,9
nifi-nar-bundles,6
nifi-registry,8
nifi-stateless,6
nifi-toolkit,9
