module,ideal_num
zeppelin-interpreter,8
zeppelin-interpreter-integration,1
zeppelin-jupyter,6
zeppelin-jupyter-interpreter,4
zeppelin-plugins,7
zeppelin-server,8
zeppelin-zengine,9
