module,ideal_num
abiquo,9
aliyun-ecs,8
cdmi,9
cloudsigma2,8
cloudsigma2-hnl,1
cloudsigma2-lvs,6
cloudsigma2-mia,1
cloudsigma2-sjc,6
cloudsigma2-wdc,1
cloudsigma2-zrh,1
dimensiondata,6
joyent-cloudapi,7
joyentcloud,1
oneandone,8
profitbricks-rest,9
vagrant,8
