module,ideal_num
tika-app,4
tika-batch,8
tika-core,9
tika-detectors,7
tika-eval,8
tika-fuzzing,6
tika-java7,1
tika-langdetect,6
tika-parsers,8
tika-pipes,8
tika-serialization,6
tika-server,8
tika-translate,7
tika-xmp,7
