P2 Module,Code Extraction,Code Length,Test Extraction,Test Length,Doc Extraction
apm-commons,"carrier channel channel driver driver carrier channel size buffer size carrier channel size buffer size carrier env prefix channel size buffer size carrier env prefix channel size buffer size buffer strategy strategy carrier channel size buffer size buffer strategy strategy carrier partitioner partitioner partitioner produce carrier consume consumer consumer carrier consume consumer consumer num carrier consume consumer consumer num consume cycle carrier consume consumer consumer num carrier consume consumer pool consumer pool consumer consumer shutdown consumer,env util env value env value,array block queue buffer queue buffer buffer strategy strategy array block queue queue buffer size save strategy buffer strategy strategy obtain list consume list buffer size,buffer queue buffer object buffer buffer strategy strategy atomic range integer strategy buffer strategy strategy save buffer size obtain list consume list,buffer strategy,channel queue buffer buffer channel partitioner partitioner buffer strategy strategy size channel channel size buffer size partitioner partitioner buffer strategy strategy save partitioner partitioner partitioner strategy buffer strategy strategy channel size size queue buffer buffer,queue buffer,atomic range integer number serializable serial version uid atomic integer array value value offset value end value atomic range integer value max value increment value value value value,bulk consume pool consumer pool list multiple channel consumer consumer start bulk consume pool size consume cycle multiple channel consumer low payload running channel channel close channel channel begin channel channel creator callable consumer pool size consume cycle creator pool size consume cycle consumer pool call recommend max size,consume driver driver run consumer thread consumer thread channel channel reentrant lock lock consume driver consume driver channel channel consumer prototype num consume cycle consume driver channel channel num consumer consumer instance consumer consumer property property begin channel channel run channel channel allocate thread close channel channel,consumer can not create runtime,consumer pool driver,consumer pool factory map consumer pool pool create absent pool callable consumer pool creator consumer pool pool,consumer thread thread run consumer consumer list source source consume cycle run consume list consume list source queue buffer source buffer,consumer,driver,multiple channel consumer thread run array list group consume target size consume cycle multiple channel consumer thread consume cycle run consume group target list consume list add target channel channel consumer consumer size group channel channel consumer consumer group channel channel consumer consumer,partitioner,producer thread partitioner partitioner producer thread partitioner partition total max retry count,simple roll partitioner partitioner partition total max retry count,placeholder configurer support placeholder prefix placeholder suffix value separator,property placeholder helper placeholder prefix placeholder suffix simple prefix value separator ignore unresolvable placeholder replace placeholder value property property config value key property property replace placeholder value placeholder resolver placeholder resolver parse value value placeholder resolver placeholder resolver find placeholder end sequence buf placeholder resolver,runnable protection runnable runnable run callback callback runnable protection runnable run callback callback run callback,format group list pattern rule rule format group add rule rule regex format result format sort rule comparator pattern rule comparator format result match replace pattern rule pattern pattern pattern rule rule regex,util empty str empty str blank str blank str present value consumer setter join delimiter string substring match sequence str sequence substring cut str threshold trim str",535,"carrier create carrier illegal access produce illegal access possible produce illegal access block produce illegal access init property property consume list sample error list sample throwable exit,env util,link array benchmark array link array link array array array array reuse array link reuse link array reuse runner,sample value value sample value value sample,atomic range integer atomic range integer atomic atomic range integer atomic range integer atomic atomic range integer atomic range integer atomic atomic range integer increment increment performance increment performance increment performance runner,atomic range integer number serializable serial version uid atomic integer value value end value atomic range integer value max value increment value value value value,atomic range integer number serializable serial version uid atomic integer value value end value atomic range integer value max value increment value value value value,consume driver begin consume driver illegal access close consume driver interrupt illegal access,consumer pool factory create absent,consumer link block queue sample buffer link block queue sample occur error consumer less channel illegal access consumer channel illegal access interrupt consumer error interrupt sample consumer sample error init property property consume list sample error list sample throwable exit consumer consumer carrier sample carrier illegal access,sample consumer consumer sample init property property consume list sample error list sample throwable exit,producer thread partitioner partition,simple roll partitioner partition,runnable protection protection run handle throwable,format group match rule performance benchmark runner,util empty blank join substring match return substring match positive cut trim",250,apmapplication performance monitor system especially design microservices cloud native containerbased architectures abstract open source apm system include monitor trace diagnose capability distribute system cloud native architecture core feature follow service service instance endpoint metric analysis root cause analysis profile code runtime service topology map analysis service service instance endpoint dependency analysis slow service endpoint detect performance optimization distribute trace context propagation database access metric detect slow database access statementsincluding sql statement message queue performance consume latency monitor alarm browser performance monitor infrastructurevm network disk etc monitor collaboration across metric trace log support collect telemetry metric trace logs data multiple source multiple format include java net core nodejs php python autoinstrument agent sdks lua agent especially nginx openresty apisix browser agent service mesh observability control panel data panel metric system include prometheus opentelemetry spring sleuthmicrometer zabbix log zipkin traceno analysis oap use stamstreaming topology analysis method analysis topology trace base agent scenario well performance read paper stam details documentation official documentation paper stam stream topology analysis method blog use profile fix blind spot distribute trace blog observe istio envoy service mesh als solution blog observe istio envoy service mesh als metadataexchange mechanism vms kubernetes notice use protocol incompatible previous release download please head release page download release compile project follow document code conduct project adhere contributor covenant code conduct participate expect uphold code please follow reporting guideline report unacceptable behavior live demo find demo screenshot website video youtubecom contact mail list devskywalkingapacheorg mail follow reply subscribe mail list send mail mail list invite twitter asfskywalking group recommend bilibili user hundred company organization use research production commercial product visit website find user page landscape nbspnbsp enrich cncf cloud native landscape project enrich openapm landscape license license
apm-protocol,"profile constant task duration min minute task duration max minute task dump period min millis task max sampling count,command command serial number builder command builder command serial number,command deserializer command deserialize command command,configuration discovery command command serializable deserializable configuration discovery command deserializable configuration discovery command deserializer configuration discovery command configuration discovery command uuid uuid serial number serial number uuid list key value pair config configuration discovery command serial number configuration discovery command deserialize command command builder serialize uuid list key value pair config,deserializable command,profile task command command serializable deserializable profile task command deserializable profile task command deserializer profile task command profile task query task endpoint duration min duration threshold dump period max sampling count time create time profile task command serial number task endpoint duration profile task command deserialize command command builder serialize endpoint duration min duration threshold dump period max sampling count time create time task,serializable,trace ignore command command serializable trace ignore command serial number builder serialize add rule path,unsupported command runtime command command unsupported command command command command command",179,grpc server interrupt next command value error throwable complete,9,apmapplication performance monitor system especially design microservices cloud native containerbased architectures abstract open source apm system include monitor trace diagnose capability distribute system cloud native architecture core feature follow service service instance endpoint metric analysis root cause analysis profile code runtime service topology map analysis service service instance endpoint dependency analysis slow service endpoint detect performance optimization distribute trace context propagation database access metric detect slow database access statementsincluding sql statement message queue performance consume latency monitor alarm browser performance monitor infrastructurevm network disk etc monitor collaboration across metric trace log support collect telemetry metric trace logs data multiple source multiple format include java net core nodejs php python autoinstrument agent sdks lua agent especially nginx openresty apisix browser agent service mesh observability control panel data panel metric system include prometheus opentelemetry spring sleuthmicrometer zabbix log zipkin traceno analysis oap use stamstreaming topology analysis method analysis topology trace base agent scenario well performance read paper stam details documentation official documentation paper stam stream topology analysis method blog use profile fix blind spot distribute trace blog observe istio envoy service mesh als solution blog observe istio envoy service mesh als metadataexchange mechanism vms kubernetes notice use protocol incompatible previous release download please head release page download release compile project follow document code conduct project adhere contributor covenant code conduct participate expect uphold code please follow reporting guideline report unacceptable behavior live demo find demo screenshot website video youtubecom contact mail list devskywalkingapacheorg mail follow reply subscribe mail list send mail mail list invite twitter asfskywalking group recommend bilibili user hundred company organization use research production commercial product visit website find user page landscape nbspnbsp enrich cncf cloud native landscape project enrich openapm landscape license license
apm-webapp,"application,error web handler error web handler mono handle server web exchange exchange throwable",14,application context context load,4,apmapplication performance monitor system especially design microservices cloud native containerbased architectures abstract open source apm system include monitor trace diagnose capability distribute system cloud native architecture core feature follow service service instance endpoint metric analysis root cause analysis profile code runtime service topology map analysis service service instance endpoint dependency analysis slow service endpoint detect performance optimization distribute trace context propagation database access metric detect slow database access statementsincluding sql statement message queue performance consume latency monitor alarm browser performance monitor infrastructurevm network disk etc monitor collaboration across metric trace log support collect telemetry metric trace logs data multiple source multiple format include java net core nodejs php python autoinstrument agent sdks lua agent especially nginx openresty apisix browser agent service mesh observability control panel data panel metric system include prometheus opentelemetry spring sleuthmicrometer zabbix log zipkin traceno analysis oap use stamstreaming topology analysis method analysis topology trace base agent scenario well performance read paper stam details documentation official documentation paper stam stream topology analysis method blog use profile fix blind spot distribute trace blog observe istio envoy service mesh als solution blog observe istio envoy service mesh als metadataexchange mechanism vms kubernetes notice use protocol incompatible previous release download please head release page download release compile project follow document code conduct project adhere contributor covenant code conduct participate expect uphold code please follow reporting guideline report unacceptable behavior live demo find demo screenshot website video youtubecom contact mail list devskywalkingapacheorg mail follow reply subscribe mail list send mail mail list invite twitter asfskywalking group recommend bilibili user hundred company organization use research production commercial product visit website find user page landscape nbspnbsp enrich cncf cloud native landscape project enrich openapm landscape license license
