p10 Module,Code Extraction,Code Length,Test Extraction,Test Length,Doc Extraction
scim-client,"filter client filter client simple logical builder builder builder builder complex logical builder simple logical builder builder filter expression builder filter expression filter expression builder filter expression filter expression builder filter expression comparison builder complex logical builder builder equal key value builder equal key value builder equal key date value builder equal key local date value builder equal key local date time value number builder equal key value builder equal key builder equal key value builder equal key value builder equal key date value builder equal key local date value builder equal key local date time value number builder equal key value builder equal key builder end key value builder start key value builder contain key value number builder great key value builder great key date value builder great key local date value builder great key local date time value number builder great key value builder great key date value builder great key local date value builder great key local date time value number builder less key value builder less key date value builder less key local date value builder less key local date time value number builder less key value builder less key date value builder less key local date value builder less key local date time value builder filter expression expression builder attribute attribute filter expression expression filter parse builder builder builder filter expression builder filter expression filter expression builder builder filter expression builder filter expression filter expression builder equal key value builder equal key value builder equal key date value builder equal key local date value builder equal key local date time value number builder equal key value builder equal key builder equal key value builder equal key value builder equal key date value builder equal key local date value builder equal key local date time value number builder equal key value builder equal key number builder great key value builder great key date value builder great key local date value builder great key local date time value number builder great key value builder great key date value builder great key local date value builder great key local date time value number builder less key value builder less key date value builder less key local date value builder less key local date time value number builder less key value builder less key date value builder less key local date value builder less key local date time value builder end key value builder start key value builder contain key value builder filter expression filter builder attribute attribute filter expression filter filter parse builder handle logical expression logical expression expression logical operator operator handle comparison expression filter expression expression filter build filter expression filter builder builder,invalid value filter expression serial version uid invalid value filter expression,scim client scim resource auto closeable client client scim resource generic type list response scim resource list response generic type web target target internal scim client scim client rest call invoke invocation scim client client client url scim resource generic type list response scim resource list generic type scim client client client url scim resource generic type list response scim resource list generic type rest call invoke close optional scim optional attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim list response query attribute reference list wrapper attribute attribute reference list wrapper exclude attribute filter filter attribute reference sort sort order sort order integer integer count scim create resource scim create resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim list response find search request search request scim update resource scim update resource attribute reference list wrapper attribute attribute reference list wrapper exclude attributes scim patch patch request patch request scim patch patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim delete scim rest call invoke invoke rest call invoke internal scim client resource type resource filter query param filter sort query param sort sort order query param sort order query param count query param count response attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response query attribute reference list wrapper attribute attribute reference list wrapper exclude attribute filter wrapper filter attribute reference sort sort order sort order integer integer count scim response create resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response find search request search request scim response update resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response patch patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response delete scim attribute reference list wrapper query param list empty attribute reference list wrapper wrapper content type,resource type client auto closeable generic type list resource type list resource type generic type list resource type client client web target target resource type resource client resource type resource client resource type resource client resource type client client client url list resource type resource type filter rest client rest server backing store change conflict service auth optional resource type resource type rest client process illegal state rest server backing store change conflict service auth close resource type resource client resource type resource response resource type filter rest client response resource type rest client,scim group client scim client scim group generic type list response scim group scim group list generic type list response scim group scim group client client client url scim group client client client url rest call invoke,scim self client auto closeable client client web target target self resource client self resource client rest call invoke invocation scim self client client client url scim self client client client url rest call invoke scim user self attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim scim user self scim update self scim user scim user attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim update self scim user scim user scim patch self patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attributes scim patch self patch request patch request scim delete self scim rest call invoke invoke rest call invoke close self resource client self resource response self attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response update scim user scim user attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response patch patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attribute scim response delete scim,scim user client scim client scim user generic type list response scim user list scim user generic type list response scim user scim user client client client url scim user client client client url rest call invoke,scim group client scim group client scim group client client client url scim group client client client url rest call invoke content type,scim user client scim user client scim user client client client url scim user client client client url rest call invoke content type",1168,"filter builder great great integer arg unsupported encoding filter parse example arg unsupported encoding filter parse great arg unsupported encoding filter parse great arg unsupported encoding filter parse great date unsupported encoding filter parse great local date unsupported encoding filter parse great local date time unsupported encoding filter parse great integer arg unsupported encoding filter parse great arg unsupported encoding filter parse great arg unsupported encoding filter parse great arg unsupported encoding filter parse great date unsupported encoding filter parse great local date unsupported encoding filter parse great local date time unsupported encoding filter parse decode encode unsupported encoding,filter builder less less integer arg unsupported encoding filter parse less arg unsupported encoding filter parse less arg unsupported encoding filter parse less arg unsupported encoding filter parse less date unsupported encoding filter parse less local date unsupported encoding filter parse less local date time unsupported encoding filter parse less integer arg unsupported encoding filter parse less arg unsupported encoding filter parse less arg unsupported encoding filter parse less arg unsupported encoding filter parse less date unsupported encoding filter parse less local date unsupported encoding filter parse less local date time unsupported encoding filter parse decode encode unsupported encoding,filter builder end unsupported encoding filter parse start unsupported encoding filter parse contain unsupported encoding filter parse decode encode unsupported encoding,filter builder simple unsupported encoding filter parse simple unsupported encoding filter parse chain unsupported encoding filter parse chain complex unsupported encoding filter parse chain complex unsupported encoding filter parse complex unsupported encoding filter parse unsupported encoding filter parse attribute contain unsupported encoding filter parse attribute contain embed unsupported encoding filter parse attribute contain deeply embed unsupported encoding filter parse decode encode unsupported encoding,filter builder equal unsupported encoding filter parse equal unsupported encoding filter parse equal date unsupported encoding filter parse equal local date unsupported encoding filter parse equal local date time unsupported encoding filter parse equal integer unsupported encoding filter parse equal unsupported encoding filter parse equal unsupported encoding filter parse equal unsupported encoding filter parse equal unsupported encoding filter parse decode encode unsupported encoding,filter builder notnot equal unsupported encoding filter parse notnot equal unsupported encoding filter parse notnot equal date unsupported encoding filter parse notnot equal local date unsupported encoding filter parse notnot equal local date time unsupported encoding filter parse notnot equal integer unsupported encoding filter parse notnot equal unsupported encoding filter parse notnot equal unsupported encoding filter parse notnot equal unsupported encoding filter parse equal unsupported encoding filter parse decode encode unsupported encoding",417,directory scimple apaches java implementation simple crossdomain identity management scim version specification define follow rfcs rfc scim core schema rfc scim protocol rfc scim definition overview concept requirement project please fork project contribute pullrequest via project github page issue track transitioned foundation jira server please visit project page httpsdirectoryapacheorgscimple feature fullfeatured java scim client declarative creation new resourcetypes extension dynamic generation schema resourcetype endpoint suite tool allow creation scim resource verify appropriate schemas future feature example implementation server various persistence paradigm set verification test ensure project meet specification allow interoperability testing example code example project declarative syntax show first example show scim resource declare example annotation use class level member level declare new scim resource attribute respectively example show equivalent declaration resource extension example show extension declare class level also provide example complex scim type simply define suitably annotate inner class implementation fully customizable without alter core server code example show implementation provider declare implement provider interface allow customization create retrieve update delete method well find customization flexible system implement soft delete create delete method simply set flag alter find retrieve method return undeleted resource
scim-server,"server configuration list authentication schema authentication schemas add authentication schema authentication schema authentication schema support configuration change password configuration bulk configuration bulk configuration support configuration etag configuration filter configuration filter configuration support configuration patch configuration support configuration sort configuration support configuration create support configuration support,attribute exist serial version uid attribute exist attribute exist message attribute exist throwable cause attribute exist message throwable cause attribute exist message throwable cause enable suppression writable stack trace,filter parse mapper mapper filter parse response response filter parse,invalid provider invalid provider,scim server serial version uid error response error response scim server status status detail scim server status status detail scim server status status error message type error message type detail scim server status status error message type error message type detail format message status status error message type error message type detail,unable create resource serial version uid status status unable create resource status status unable create resource status status throwable,unable delete resource serial version uid status status unable delete resource status status unable delete resource status status throwable,unable resolve serial version uid status status unable resolve status status unable resolve status status throwable,unable retrieve extension serial version uid status status unable retrieve extension status status unable retrieve extension status status throwable,unable retrieve resource serial version uid status status unable retrieve resource status status unable retrieve resource status status throwable,unable update resource serial version uid status status unable update resource status status unable update resource status status throwable,api origin filter filter filter servlet request request servlet response response filter chain chain servlet init filter config filter config servlet destroy,priority sorting comparitor comparator object object priority priority sorting comparitor object priority compare object object comparable comparable value object obj,provider scim resource,provider registry type identifier character array type identifier big character array type identifier character type identifier integer type identifier integer type identifier big type identifier type identifier big type identifier type identifier big type identifier local time type identifer local time local date type identifer local date local date time type identifier local date time date type identifier date array type identifier resource reference type identifier resource reference reference type provider registry provider registry registry registry scim extension registry scim extension registry map scim resource instance provider scim resource provider map hash map scim resource register provider clazz instance provider provider instance invalid provider json processing unable retrieve extension scim resource provider provider clazz resource type generate resource type scim resource provider scim resource provider invalid provider unable retrieve extension schema generate schema clazz invalid provider schema generate extension schema clazz invalid provider schema generate schema clazz list field field list invalid provider list attribute create attribute urn list field field list invalid attribute invalid provider,self resolver,update request scim resource operation path path value value resource original list patch operation patch operation initialized schema schema registry registry map attribute integer add remove offset map hash map update request registry registry init resource original resource init patch original list patch operation patch operation resource list patch operation patch operation sort multi value collection object object attribute container illegal argument illegal access object find common element list object list object apply patch operation empty list json node node list patch operation create patch operation illegal argument illegal access json processing list patch operation convert node patch operation operation node diff path json node value node illegal argument illegal access json processing patch operation handle extension json node value node type patch type parse parse json processing list patch operation handle attribute json node value node patch type patch type parse parse illegal access json processing patch operation build patch operation patch type patch type parse parse list attribute reference list object determine value patch type patch type json node value node parse parse json processing parse parse diff path traverse object path part attribute attribute illegal argument illegal access traverse object array path part type patch type last object lookup array object object object lookup attribute object object attribute container attribute illegal argument illegal access,processing extension,scim processing extension,attribute filter extension processing extension,processing extension,scim request context attribute reference attribute reference attribute reference exclude attribute reference,client filter serial version uid client filter status status message,resource type resource impl scim resource resource type resource logger log logger logger resource type resource attribute util attribute util endpoint util endpoint util etag generator etag generator instance update request update request instance provider provider response attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response query attribute reference list wrapper attribute attribute reference list wrapper exclude attribute filter wrapper filter attribute reference sort sort order sort order integer integer count response create resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response find search request request response update resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response patch patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response delete process filter attribute extension provider provider resource attribute reference attribute reference attribute reference exclude attribute reference client filter uri build location tag resource response create generic response throwable status status response create ambiguous attribute parameter response response create find response response create tag error response response create attriubte processing error response response create provider response create precondition fail response response builder evaluate precondition response,bulk resource impl bulk resource bulk exist bulk resolve refer bulk bulk operation bulk refer fail resource bulk resolve resource refer fail create operation depend fail operation operation depend fail bulk operation pattern path pattern response bulk bulk request request uri info uri info cleanup bulk key cleanup map transitive reverse dependency map bulk operation bulk key operation result handle bulk operation method list wish java tuples unresolveds bulk operation operation result map bulk operation bulk key operation result uri info uri info unable create resource unable delete resource unable update resource unresolvable operation create error response bulk operation operation result status status detail wish java tuples bulk key list unresolved top level unresolveds bulk operation bulk operation result unresolvable operation serial version uid unresolvable operation message unresolved complex object object field field bulk key resolve map bulk operation bulk key operation result unresolvable operation unresolved top level field field resolve scim resource scim resource map bulk operation bulk key operation result unresolvable operation unresolved top level bulk unresolved top level unresolved bulk key unresolved top level bulk field field bulk key resolve scim resource scim resource map bulk operation bulk key operation result unresolvable operation unresolved top level complex unresolved top level object complex list unresolved complex unresolved unresolved top level complex field field object complex list unresolved complex unresolved resolve scim resource scim resource map bulk operation bulk key operation result unresolvable operation list unresolved complex resolve attribute list unresolved complex unresolveds object attribute value attribute attribute map bulk operation bulk key operation result unresolvable operation resolve top level list wish java tuples unresolveds bulk operation bulk operation result map bulk operation bulk key operation result unresolvable operation generate visit visit map dependency graph root map generate transitive dependency graph map dependency graph generate reverse dependency graph map reverse dependency graph dependent bulk object scim object list attribute scim object attribute map generate reverse dependency graph list bulk operation bulk operation,group resource impl resource type resource impl scim group group resource provider scim group provider,object mapper context resolver object mapper context resolver object mapper object mapper object mapper context resolver registry registry object mapper context type,object mapper factory registry registry object mapper factory registry registry object mapper create object mapper,resource type resource impl resource type resource registry registry uri info uri info response resource type filter response resource type,schema resource impl schema resource uri info uri info response schemas filter response schema urn,scim jackson jaxb json provider jackson jaxb json provider scim jackson jaxb json provider object mapper object mapper,scim resource deserializer json deserializer scim resource registry registry object mapper object mapper scim resource deserializer registry registry object mapper object mapper scim resource deserialize json parser json parser deserialization context deserialization context json processing,scim resource helper scim resource helper scim classes load swagger class load,search resource impl search resource,self resource impl self resource response self attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response update scim user resource attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response patch patch request patch request attribute reference list wrapper attribute attribute reference list wrapper exclude attribute response delete response create error response scim response create error response unable resolve internal unable resolve,service provider config resource impl service provider config resource service provider config resource impl register server configuration server configuration configuration response service provider configuration uri info uri info response create tag error response,user resource impl resource type resource impl scim user user resource provider scim user provider,web application mapper web application mapper response response web application,registry map schema schema map hash map map scim resource schema urn scim resource hash map map scim resource endpoint scim resource hash map map resource type resource type map hash map object mapper object mapper schema schema urn schema urn collection schema schemas schema schema resource type resource type add schema schema schema json processing add schema doc schema doc scim resource add scim resource schema urn schema urn scim resource scim resource add scim resource end point endpoint scim resource scim resource find scim resource endpoint endpoint scim resource find scim resource schema urn resource type resource type collection resource type resource type add resource type resource type resource type,scim extension registry producer scim extension registry produce scim extension registry,attribute util init todo move cdi producer scim resource keep always attribute display resource illegal argument illegal access attribute exist scim resource attribute display resource illegal argument illegal access attribute exist scim resource attribute display internal resource return remove attribute type illegal argument illegal access attribute exist scim resource attribute display resource attribute reference attribute illegal argument illegal access attribute exist scim resource exclude attribute display resource attribute reference exclude attribute illegal argument illegal access attribute exist scim resource clone scim resource original remove attribute type object object attribute container attribute container return return illegal argument illegal access remove attribute type object object attribute container attribute container return return attribute attribute keep illegal argument illegal access remove attribute object object attribute container attribute container attribute attribute remove illegal argument illegal access process attribute object object attribute container attribute container function attribute function illegal argument illegal access attribute reference attribute reference attribute resolve attribute reference attribute reference attribute reference include attribute chain attribute exist attribute find attribute attribute reference attribute reference include attribute chain attribute exist attribute find attribute schema schema schema attribute reference attribute reference include attribute chain,endpoint util uri uri uri builder uri builder uri builder endpoint uri builder scim resource resource process uri info uri info,etag generator entity tag generate etag scim resource resource json processing algorithm unsupported encoding entity tag hash input algorithm unsupported encoding,uri utility uri utility url uri info uri info secure malforme url,lucky number extension scim extension schema urn urn mem params scim schemas extension lucky number extension lucky number urn,rest application application class,swagger jaxrs config servlet context listener logger logger logger logger swagger jaxrs bean config bean config bean config context initialize servlet context event event context destroy servlet context event event,memory group service provider scim group map scim group groups hash map scim group create scim group resource scim group update update request scim group update request unable update resource scim group delete filter response scim group find filter filter page request page request sort request sort request list scim extension extension list,memory self resolver impl self resolver resolve internal principal principal unable resolve,memory user service provider scim user map scim user user hash map init scim user create scim user resource scim user update update request scim user update request unable update resource scim user delete filter response scim user find filter filter page request page request sort request sort request list scim extension extension list,scim configurator servlet context listener logger log logger logger scim provider registry provider registry instance memory user service user provider instance instance memory group service group provider instance context initialize servlet context event sce context destroy servlet context event",2086,"priority sorting comparitor sorting,provider registry provider registry initialize add provider,provider handle jaxrs handle runtime handle provider adapter provider scim resource scim resource create scim resource resource scim resource update update request scim resource update request scim resource filter response scim resource find filter filter page request page request sort request sort request delete list scim extension extension list,update request first first second second third third fourth fourth registry registry initialize resource passthrough patch passthrough patch update add single attribute add single extension add complex attribute add multi value attribute add object empty collection add object empty collection replace single attribute replace extension single attribute replace complex attribute replace multi value attribute remove single attribute remove single extension remove complex attribute remove full complex attribute remove multi value attribute remove multi value attribute sorting add multi value attribute sorting verify empty arrays cause move verify empty arrays nulled add array remove array non type attribute list useable path move format nickname move format nickname move format nickname move format nickname move format nickname list string parameterize list list list expect patch operation op object list string parameter offset move format nickname show bug delete treat multiple replace patch operation single result list patch operation result assertion patch operation actual type path object value filter parse expect patch operation path value address create home address scim user create phone number parse scim user copy scim user scim user list patch operation create patch op filter parse,resource type resource impl provider internal scim server throw provider scim server forbid filter query parameter valid create error attribute exclude attribute exist find error attribute exclude attribute exist update error attribute exclude attribute exist patch error attribute exclude attribute exist scim user scim user phone number parse,self resource impl self resolver self resolver unable resolve scim,attribute util logger log logger logger attribute util object mapper object mapper setup resource include attribute include full attribute include attribute extension exclude attribute exclude attribute extension debug json object resource json generation json mapping scim user scim user phone number parse,example object extension scim extension serial version uid urn urn ietf params scim schemas extension object complex object serializable serial version uid value display value always value value never value request complex object value complex list list list order list subobject subobject urn,order value value,subobject serializable serial version uid list list",400,directory scimple apaches java implementation simple crossdomain identity management scim version specification define follow rfcs rfc scim core schema rfc scim protocol rfc scim definition overview concept requirement project please fork project contribute pullrequest via project github page issue track transitioned foundation jira server please visit project page httpsdirectoryapacheorgscimple feature fullfeatured java scim client declarative creation new resourcetypes extension dynamic generation schema resourcetype endpoint suite tool allow creation scim resource verify appropriate schemas future feature example implementation server various persistence paradigm set verification test ensure project meet specification allow interoperability testing example code example project declarative syntax show first example show scim resource declare example annotation use class level member level declare new scim resource attribute respectively example show equivalent declaration resource extension example show extension declare class level also provide example complex scim type simply define suitably annotate inner class implementation fully customizable without alter core server code example show implementation provider declare implement provider interface allow customization create retrieve update delete method well find customization flexible system implement soft delete create delete method simply set flag alter find retrieve method return undeleted resource
