P5 Module,TFIDF,W2V,SpaCy,FastText
shardingsphere-agent,0.7720230137803505,0.964285671710968,0.983764313467288,0.9890274405479431
shardingsphere-db-protocol,0.9418025438285873,0.9821439981460571,0.9924550708923219,0.995725154876709
shardingsphere-features,0.9335751572911751,0.9835894107818604,0.9940419746225537,0.9966815112853404
shardingsphere-infra,0.8847157410110493,0.9876682162284851,0.9941358544391538,0.9969266039417471
shardingsphere-jdbc,0.8888974571249602,0.9745603799819946,0.985542951170154,0.9941391037040289
shardingsphere-kernel,0.7471766664051738,0.9713934659957886,0.9890136441477413,0.9939571071272597
shardingsphere-mode,0.8127006732521451,0.9760412573814392,0.9883092216590209,0.9946712255477905
shardingsphere-proxy,0.8977794682912384,0.9863548278808594,0.9939808557221926,0.9962597602824215
shardingsphere-scaling,0.7695019663980232,0.9323037266731262,0.9787887329837369,0.9854969382286072
shardingsphere-spi,0.6011001470989814,0.9155643582344055,0.9460297013628474,0.9495712518692017
shardingsphere-sql-parser,0.5636701031650928,0.9268283843994141,0.9609960098264687,0.9811462683048285
