Project,CODE/DOC TFIDF,TEST/DOC TFIDF,CODE/DOC SO W2V,TEST/DOC SO W2V,CODE/DOC SPACY,TEST/DOC SPACY,CODE/DOC FT,TEST/DOC FT
P1,0.106,0.083,0.583,0.531,0.881,0.889,0.957,0.957
P2,0.241,0.163,0.76,0.775,0.934,0.934,0.967,0.96
P3,0.08,0.098,0.511,0.561,0.882,0.895,0.958,0.963
P4,0.143,0.116,0.633,0.661,0.892,0.905,0.963,0.964
P5,0.117,0.129,0.594,0.623,0.894,0.899,0.967,0.968
