P1 Module,TFIDF,W2V,SpaCy,FastText
dubbo-cluster,0.6948183481959607,0.9316944479942322,0.9648951119176687,0.9887973666191101
dubbo-common,0.608002740810513,0.9527009129524231,0.9765092796099292,0.9917618517559305
dubbo-compatible,0.48574659249250735,0.9064679741859436,0.9652257504298909,0.9814621806144714
dubbo-config,0.5172668652251156,0.9459418654441833,0.9660319620440709,0.9876627909049148
dubbo-configcenter,0.6867800575474796,0.9524739980697632,0.9677992681017977,0.9866403341293335
dubbo-container,0.6793797792460754,0.8512791395187378,0.8451969074754605,0.8984411954879761
dubbo-filter,0.5226029964454662,0.8484113216400146,0.9147756274510408,0.9668915271759033
dubbo-metadata,0.6826644263268357,0.9447274804115295,0.9774229122311077,0.9838649034500122
dubbo-monitor,0.7641855441655452,0.9323540329933167,0.9663955749749582,0.9880221486091614
dubbo-plugin,0.49340204680389854,0.9357001781463623,0.9737244502814655,0.9869563579559326
dubbo-registry,0.9014520986140703,0.9875348806381226,0.9895456834275336,0.9937610727849856
dubbo-remoting,0.8408849851170425,0.9760056138038635,0.987526749403115,0.9954195076758543
dubbo-rpc,0.28088244753308267,0.8317785859107971,0.9322473850083386,0.9703382473291755
dubbo-serialization,0.5062184430308629,0.8962774872779846,0.951516899809097,0.9793418645858765
